# {"t_start": 1709535734.62063, "env_id": "PongNoFrameskip-v4"} 
r,l,t
-18.0,1229,20.024186
-20.0,905,27.58142
-21.0,764,33.63766
-21.0,896,41.331479
-21.0,777,46.924113
-21.0,821,55.30303
-21.0,807,61.033155
-20.0,860,68.091719
-21.0,805,73.666058
-20.0,999,81.707648
-21.0,870,87.975641
-21.0,877,94.781276
-20.0,857,103.281563
-20.0,859,109.836119
-20.0,871,116.664594
-20.0,1013,124.129794
-20.0,975,132.079424
-21.0,881,138.349507
-20.0,867,145.180694
-20.0,976,152.645557
-21.0,1030,160.44301
-20.0,934,167.866719
-18.0,1119,175.773255
-21.0,778,182.215539
-20.0,878,188.916928
-20.0,833,195.93977
-21.0,804,202.529655
-20.0,993,211.81976
-21.0,819,218.356231
-21.0,779,224.012829
-19.0,992,231.990727
-20.0,888,238.271719
-21.0,871,245.21763
-19.0,1265,254.301232
-18.0,1306,264.345111
-19.0,1165,273.966999
-18.0,1053,282.081258
-17.0,1188,290.663801
-18.0,1194,299.988489
-19.0,1445,311.328365
-13.0,1675,324.18235
-19.0,1351,334.678472
-20.0,1221,343.467188
-19.0,1310,353.983544
-15.0,1507,365.98388
-17.0,1337,376.188823
-20.0,1334,386.633816
-21.0,1105,394.177396
-10.0,1910,408.63705
-8.0,1931,424.283459
-4.0,2183,441.041197
-12.0,1729,454.446252
-5.0,2237,471.221622
-2.0,2270,489.32124
-5.0,2132,505.637861
-4.0,2117,521.708092
-3.0,2206,539.146841
-5.0,2063,555.183021
-11.0,1729,568.783211
-7.0,1989,583.998576
-6.0,2026,599.76236
-9.0,1823,613.843149
-9.0,1859,628.6709
-4.0,2198,645.944536
-7.0,1943,660.813525
-11.0,1849,675.246604
-5.0,2435,694.435757
-7.0,1994,709.68616
-4.0,2186,726.164631
-2.0,2265,743.405776
-10.0,1696,756.465396
-6.0,2019,772.879131
-14.0,1781,786.607394
-9.0,1821,800.357157
-7.0,2043,815.966915
-13.0,1678,828.960988
-5.0,2156,845.347888
-2.0,2365,864.085848
-13.0,1786,877.756779
-2.0,2395,895.880395
-4.0,2391,914.872212
-2.0,2672,934.999966
1.0,2582,955.320646
3.0,3108,979.098104
1.0,3087,1002.256106
-3.0,2917,1024.5923
-2.0,3223,1048.751456
3.0,2639,1069.483545
7.0,2997,1091.199506
10.0,2781,1112.237717
16.0,2313,1129.513305
-1.0,3046,1152.789189
18.0,2141,1168.666644
