# {"t_start": 1709535734.62063, "env_id": "PongNoFrameskip-v4"} 
r,l,t
16.0,2269,1186.258066
12.0,2429,1204.116149
21.0,2055,1219.56026
11.0,2746,1240.237395
12.0,2434,1259.051044
20.0,1985,1274.382765
9.0,2601,1293.669328
11.0,2653,1314.267979
8.0,2890,1336.59581
7.0,3080,1359.285911
20.0,2091,1375.700289
21.0,2010,1390.83042
21.0,1987,1405.47435
18.0,2177,1421.732641
19.0,2104,1438.076756
17.0,2192,1454.560152
20.0,2109,1469.99526
20.0,2129,1485.882563
5.0,3189,1510.103334
18.0,2183,1526.413343
13.0,2360,1544.69684
5.0,3109,1568.059003
18.0,2185,1584.161177
18.0,2303,1601.351368
19.0,2044,1616.811913
21.0,2010,1632.438331
-19.0,996,1639.445471
-20.0,978,1646.988378
15.0,2342,1664.499691
16.0,2229,1681.258978
19.0,2207,1697.890432
17.0,2213,1714.309018
16.0,2315,1731.739441
15.0,2310,1749.583917
20.0,2006,1764.228037
18.0,2176,1780.180825
19.0,2143,1796.686986
16.0,2238,1813.700613
18.0,2188,1830.005375
18.0,2273,1846.748514
19.0,2076,1863.099874
19.0,2101,1878.636586
12.0,2877,1900.513322
20.0,2074,1916.508193
20.0,2168,1932.242626
13.0,2791,1953.640059
20.0,2068,1968.899613
20.0,2069,1984.543246
16.0,2210,2001.117504
20.0,2036,2016.719257
16.0,1879,2030.467632
18.0,1833,2044.413047
18.0,2093,2059.84401
19.0,2105,2075.171352
4.0,2913,2097.298194
20.0,2090,2112.903402
19.0,2087,2128.374473
20.0,2071,2144.31017
13.0,2213,2160.530426
18.0,1772,2173.518007
20.0,1613,2185.869148
20.0,2042,2200.98929
20.0,2093,2216.752654
20.0,1616,2229.073083
13.0,2091,2245.03809
16.0,1806,2258.535372
19.0,2087,2274.007974
16.0,1811,2287.547077
12.0,2304,2304.537946
20.0,1617,2316.966425
-21.0,880,2324.146528
20.0,2068,2339.45724
15.0,2279,2356.294976
20.0,2070,2372.013095
19.0,2116,2388.167123
7.0,2564,2407.139808
13.0,2319,2425.425347
14.0,2374,2442.790565
20.0,2069,2458.039988
20.0,2092,2474.036059
13.0,2561,2493.363848
21.0,2095,2508.770893
18.0,2159,2525.208321
18.0,2160,2541.935569
-1.0,3638,2568.890462
20.0,1614,2581.208838
20.0,2006,2595.853426
-21.0,823,2602.222167
-16.0,1444,2612.76361
20.0,2069,2628.983924
20.0,2072,2644.399961
20.0,2072,2659.533969
20.0,2040,2674.688898
20.0,1618,2686.962029
20.0,2067,2702.296727
-4.0,3230,2726.3572
20.0,2072,2741.912439
20.0,2071,2758.207191
20.0,1615,2770.124798
20.0,1616,2782.031861
20.0,1619,2794.037767
20.0,2071,2809.934892
17.0,1788,2823.244828
3.0,3477,2849.36335
16.0,2025,2864.307319
21.0,1579,2876.062588
20.0,2130,2892.01075
15.0,2441,2910.654266
12.0,2656,2929.897817
21.0,1974,2944.802369
17.0,2271,2962.297099
18.0,1921,2976.503158
16.0,1922,2990.725756
15.0,2019,3005.828166
16.0,2299,3022.665873
13.0,2533,3042.274771
20.0,1618,3054.473945
19.0,1757,3067.31704
19.0,1670,3079.752518
13.0,2042,3095.140343
17.0,1846,3109.091795
18.0,1738,3122.021009
14.0,1902,3136.334555
9.0,2595,3156.876994
20.0,1669,3169.624009
16.0,2283,3186.665416
20.0,2072,3201.813297
20.0,2135,3218.567076
20.0,1618,3230.830264
20.0,1633,3242.864907
19.0,1703,3255.929398
13.0,2614,3274.86309
18.0,1752,3288.043946
19.0,2153,3304.021119
20.0,2037,3319.639568
14.0,2433,3337.519799
20.0,1650,3350.146037
20.0,1615,3362.669711
20.0,2151,3378.768004
18.0,2189,3395.620137
4.0,3373,3420.938473
20.0,2067,3436.60471
20.0,2070,3452.043705
20.0,1617,3464.527127
20.0,1613,3476.709445
20.0,2186,3493.021652
18.0,1811,3506.529295
20.0,1615,3518.762291
20.0,1614,3531.195859
20.0,2074,3546.495246
20.0,1616,3558.964898
15.0,2454,3577.82529
20.0,1618,3590.240621
20.0,1620,3602.180037
20.0,1614,3614.465902
20.0,2073,3629.691658
20.0,1619,3642.054444
20.0,1614,3654.277167
20.0,1668,3666.92697
20.0,2101,3682.838935
20.0,1651,3695.170906
20.0,2073,3710.961217
19.0,1700,3724.225856
20.0,1618,3736.904953
20.0,2074,3752.488279
20.0,1614,3764.763877
20.0,1613,3777.187024
20.0,1614,3789.568134
20.0,2073,3805.754395
