eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
nan,nan,23,0.0031580818,0.171875,1.7887181,-0.0016588543,1.7719365,-0.09950566291809082,1,128,10.847001878000015,256
nan,nan,280,0.0007554666,0.05078125,1.7870581,-0.0014906661,0.09638668,0.0029415488243103027,2,256,11.759497342000031,512
nan,nan,267,0.000942316,0.07910156,1.7872083,-0.0019691184,0.055193674,-0.06889152526855469,3,384,12.715408804000049,768
nan,nan,273,0.0013272422,0.07519531,1.7841522,-0.005125709,0.08570723,-0.005264878273010254,4,512,13.651542425000002,1024
nan,nan,270,0.0009579527,0.041015625,1.7852173,-0.0023242063,0.07334903,-0.036803603172302246,5,640,14.599616059000027,1280
nan,nan,286,0.0001363146,0.0,1.7892364,-0.0012897571,0.07626177,0.03557175397872925,6,768,15.492263298000012,1536
nan,nan,275,0.0013311589,0.08886719,1.7841505,-0.0046679303,0.07192241,0.007853150367736816,7,896,16.42289387200003,1792
917.0,-21.0,261,0.0014039051,0.0859375,1.7843974,-0.006315954,0.038368784,-0.2767460346221924,8,1024,17.401212864,2048
917.0,-21.0,283,0.001189138,0.07128906,1.781501,-0.0050608926,0.05384925,0.05540144443511963,9,1152,18.306460084000037,2304
1073.0,-19.5,262,0.002042612,0.10839844,1.7877328,-0.0071589015,0.048096064,-0.06754755973815918,10,1280,19.280717112000048,2560
1073.0,-19.5,257,0.0015579623,0.107421875,1.7873517,-0.0040301657,0.08294108,-0.10523867607116699,11,1408,20.27439532400001,2816
1073.0,-19.5,232,0.0003989723,0.0,1.7842895,-0.0005665958,0.06601775,0.03390681743621826,12,1536,21.37763904800005,3072
1073.0,-19.5,188,0.0013276584,0.036132812,1.780355,-0.0015719441,0.03918332,0.039699018001556396,13,1664,22.737524795000013,3328
1073.0,-19.5,204,0.0005820791,0.0068359375,1.7811241,-0.0016380802,0.061170936,0.11751574277877808,14,1792,23.989730334,3584
